	cog	ko	ko_name
1663	COG0163	K03186	flavin prenyltransferase [EC:2.5.1.129]
1664	COG0043	K03182	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]
1665	COG2913	K06186	outer membrane protein assembly factor BamE
1666	COG1391	K00982	[glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89]
1667	COG1035	K00441	coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]
1668	COG1482	K01809	mannose-6-phosphate isomerase [EC:5.3.1.8]
1669	COG3944	K16554	polysaccharide biosynthesis transport protein [EC:2.7.10.3]
1670	COG3919	K17810	D-aspartate ligase [EC:6.3.1.12]
1671	COG3816	K09986	uncharacterized protein
1672	COG1882	K00656	formate C-acetyltransferase [EC:2.3.1.54]
1673	COG0159	K01695	tryptophan synthase alpha chain [EC:4.2.1.20]
1674	COG0133	K01696	tryptophan synthase beta chain [EC:4.2.1.20]
1675	COG0135	K01817	phosphoribosylanthranilate isomerase [EC:5.3.1.24]
1676	COG0134	K01609	indole-3-glycerol phosphate synthase [EC:4.1.1.48]
1677	COG0547	K00766	anthranilate phosphoribosyltransferase [EC:2.4.2.18]
1678	COG2982	K07289	AsmA protein
1679	COG0232	K01129	dGTPase [EC:3.1.5.1]
1680	COG0684	K10218	4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]
1681	COG1402	K01470	creatinine amidohydrolase [EC:3.5.2.10]
1682	COG4753	K07720	two-component system, response regulator YesN
1683	COG2606	K03976	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]
1684	COG0153	K00849	galactokinase [EC:2.7.1.6]
1685	COG0169	K00014	shikimate dehydrogenase [EC:1.1.1.25]
1686	COG0703	K13829	shikimate kinase / 3-dehydroquinate synthase [EC:2.7.1.71 4.2.3.4]
1687	COG1504	K09008	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3
1688	COG3580	K04115	benzoyl-CoA reductase subunit D [EC:1.3.7.8]
1689	COG2993	K00405	cytochrome c oxidase cbb3-type subunit II
1690	COG1957	K01239	purine nucleosidase [EC:3.2.2.1]
1691	COG2414	K03738	aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
1692	COG1486	K07406	alpha-galactosidase [EC:3.2.1.22]
1693	COG0679	K07088	KO not found in KEGG
1694	COG1492	K02232	adenosylcobyric acid synthase [EC:6.3.5.10]
1695	COG0082	K01736	chorismate synthase [EC:4.2.3.5]
1696	COG0345	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]
1697	COG1489	K06206	sugar fermentation stimulation protein A
1698	COG0554	K00864	glycerol kinase [EC:2.7.1.30]
1699	COG2759	K01938	formate--tetrahydrofolate ligase [EC:6.3.4.3]
1700	COG0460	K00003	homoserine dehydrogenase [EC:1.1.1.3]
1701	COG1394	K02120	V/A-type H+/Na+-transporting ATPase subunit D
1702	COG1156	K02118	V/A-type H+/Na+-transporting ATPase subunit B
1703	COG1155	K02117	V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]
1704	COG1436	K02122	V/A-type H+/Na+-transporting ATPase subunit F
1705	COG1527	K02119	V/A-type H+/Na+-transporting ATPase subunit C
1706	COG1390	K02121	V/A-type H+/Na+-transporting ATPase subunit E
1707	COG1269	K02123	V/A-type H+/Na+-transporting ATPase subunit I
1708	COG1320	K05571	multicomponent Na+:H+ antiporter subunit G
1709	COG2212	K05570	multicomponent Na+:H+ antiporter subunit F
1710	COG1863	K05569	multicomponent Na+:H+ antiporter subunit E
1711	COG0651	K05568	multicomponent Na+:H+ antiporter subunit D
1712	COG1006	K05567	multicomponent Na+:H+ antiporter subunit C
1713	COG2111	K05566	multicomponent Na+:H+ antiporter subunit B
1714	COG2764	K04750	PhnB protein
1715	COG1453	K07079	uncharacterized protein
1716	COG4566	K14987	two-component system, LuxR family, response regulator FixJ
1717	COG0578	K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
1718	COG1239	K03405	magnesium chelatase subunit I [EC:6.6.1.1]
1719	COG1240	K03404	magnesium chelatase subunit D [EC:6.6.1.1]
1720	COG3199	K07029	diacylglycerol kinase (ATP) [EC:2.7.1.107]
1721	COG2188	K03710	GntR family transcriptional regulator
1722	COG3221	K02044	phosphonate transport system substrate-binding protein
1723	COG1067	K04770	Lon-like ATP-dependent protease [EC:3.4.21.-]
1724	COG3664	K21000	polysaccharide biosynthesis protein PslG
1725	COG2936	K06978	uncharacterized protein
1726	COG1099	K07051	uncharacterized protein
1727	COG1735	K07048	phosphotriesterase-related protein
1728	COG2513	K03417	methylisocitrate lyase [EC:4.1.3.30]
1729	COG2129	K07096	uncharacterized protein
1730	COG0161	K00833	adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
1731	COG1741	K06911	quercetin 2,3-dioxygenase [EC:1.13.11.24]
1732	COG3467	K07005	uncharacterized protein
1733	COG4177	K01998	branched-chain amino acid transport system permease protein
1734	COG0559	K01997	branched-chain amino acid transport system permease protein
1735	COG0594	K03536	ribonuclease P protein component [EC:3.1.26.5]
1736	COG1847	K06346	spoIIIJ-associated protein
1737	COG2453	K14165	atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]
1738	COG3552	K07161	uncharacterized protein
1739	COG3809	K09981	uncharacterized protein
1740	COG3762	K08988	putative membrane protein
1741	COG0376	K03782	catalase-peroxidase [EC:1.11.1.21]
1742	COG1914	K03322	manganese transport protein
1743	COG5401	K06298	germination protein M
1744	COG4936	K07720	two-component system, response regulator YesN
1745	COG2015	K05555	cyclase [EC:4.-.-.-]
1746	COG1119	K05776	molybdate transport system ATP-binding protein
1747	COG2191	K11261	formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]
1748	COG3740	K06904	uncharacterized protein
1749	COG2723	K05350	beta-glucosidase [EC:3.2.1.21]
1750	COG0695	K06191	glutaredoxin-like protein NrdH
1751	COG2002	K06284	AbrB family transcriptional regulator, transcriptional pleiotropic regulator of transition state genes
1752	COG4667	K07001	NTE family protein
1753	COG1171	K01754	threonine dehydratase [EC:4.3.1.19]
1754	COG1111	K06877	DEAD/DEAH box helicase domain-containing protein
1755	COG3359	K07502	uncharacterized protein
1756	COG0627	K07214	iron(III)-enterobactin esterase [EC:3.1.1.108]
1757	COG1069	K00853	L-ribulokinase [EC:2.7.1.16]
1758	COG1020	K15654	surfactin/lichenysin synthetase A
1759	COG3544	K08995	putative membrane protein
1760	COG4992	K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
1761	COG0137	K01940	argininosuccinate synthase [EC:6.3.4.5]
1762	COG0165	K01755	argininosuccinate lyase [EC:4.3.2.1]
1763	COG2306	K09145	uncharacterized protein
1764	COG1883	K01572	KO not found in KEGG
1765	COG3474	K08738	cytochrome c
1766	COG2182	K02027	multiple sugar transport system substrate-binding protein
1767	COG1472	K01207	beta-N-acetylhexosaminidase [EC:3.2.1.52]
1768	COG0175	K00390	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
1769	COG3585	K02019	molybdate transport system regulatory protein
1770	COG3875	K22373	lactate racemase [EC:5.1.2.1]
1771	COG2410	K09147	uncharacterized protein
1772	COG3191	K18572	putative pantetheine hydrolase [EC:3.5.1.-]
1773	COG4113	K07064	uncharacterized protein
1774	COG2855	K19239	predicted membrane protein
1775	COG2050	K02614	acyl-CoA thioesterase [EC:3.1.2.-]
1776	COG1962	K00584	tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]
1777	COG0263	K00931	glutamate 5-kinase [EC:2.7.2.11]
1778	COG0014	K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
1779	COG1716	K11894	type VI secretion system protein ImpI
1780	COG0207	K00560	thymidylate synthase [EC:2.1.1.45]
1781	COG4301	K18911	L-histidine Nalpha-methyltransferase [EC:2.1.1.44]
1782	COG0368	K02233	adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]
1783	COG2038	K00768	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]
1784	COG2087	K02231	adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]
1785	COG3167	K02664	type IV pilus assembly protein PilO
1786	COG1640	K00705	4-alpha-glucanotransferase [EC:2.4.1.25]
1787	COG3281	K05343	maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]
1788	COG1842	K03969	phage shock protein A
1789	COG0689	K00989	ribonuclease PH [EC:2.7.7.56]
1790	COG0429	K07019	uncharacterized protein
1791	COG4585	K07675	two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]
1792	COG2168	K07237	tRNA 2-thiouridine synthesizing protein B
1793	COG2923	K07236	tRNA 2-thiouridine synthesizing protein C
1794	COG1553	K06039	uncharacterized protein involved in oxidation of intracellular sulfur
1795	COG1310	K21140	[CysO sulfur-carrier protein]-S-L-cysteine hydrolase [EC:3.13.1.6]
1796	COG1977	K03636	sulfur-carrier protein
1797	COG2844	K00990	[protein-PII] uridylyltransferase [EC:2.7.7.59]
1798	COG1089	K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47]
1799	COG1120	K02013	iron complex transport system ATP-binding protein [EC:7.2.2.-]
1800	COG4284	K00972	UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]
1801	COG0212	K01934	5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]
1802	COG0131	K01693	imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]
1803	COG0118	K02501	imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]
1804	COG0077	K14170	chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]
1805	COG1605	K14170	chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]
1806	COG1141	K05337	ferredoxin
1807	COG0059	K00053	ketol-acid reductoisomerase [EC:1.1.1.86]
1808	COG1469	K09007	GTP cyclohydrolase IB [EC:3.5.4.16]
1809	COG4867	K07114	Ca-activated chloride channel homolog
1810	COG2998	K05772	tungstate transport system substrate-binding protein
1811	COG4662	K05773	tungstate transport system permease protein
1812	COG1964	K06937	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase [EC:2.1.1.-]
1813	COG1693	K09720	HTH-type transcriptional regulator, global nitrogen regulator NrpRI
1814	COG0069	K00265	glutamate synthase (NADPH) large chain [EC:1.4.1.13]
1815	COG0067	K00265	glutamate synthase (NADPH) large chain [EC:1.4.1.13]
1816	COG0070	K00265	glutamate synthase (NADPH) large chain [EC:1.4.1.13]
1817	COG2823	K04065	hyperosmotically inducible periplasmic protein
1818	COG3869	K19405	protein arginine kinase [EC:2.7.14.1]
1819	COG0609	K02015	iron complex transport system permease protein
1820	COG1699	K13626	flagellar assembly factor FliW
1821	COG1551	K03563	carbon storage regulator
1822	COG1060	K18285	aminodeoxyfutalosine synthase [EC:2.5.1.120]
1823	COG1427	K11782	chorismate dehydratase [EC:4.2.1.151]
1824	COG3344	K00986	RNA-directed DNA polymerase [EC:2.7.7.49]
1825	COG3901	K19339	NosR/NirI family transcriptional regulator, nitrous oxide reductase regulator
1826	COG1874	K12308	beta-galactosidase [EC:3.2.1.23]
1827	COG1189	K06442	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]
1828	COG1465	K11646	3-dehydroquinate synthase II [EC:1.4.1.24]
1829	COG2164	K09143	uncharacterized protein
1830	COG0430	K01974	RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]
1831	COG3459	K13688	cyclic beta-1,2-glucan synthetase [EC:2.4.1.-]
1832	COG4806	K01813	L-rhamnose isomerase [EC:5.3.1.14]
1833	COG0155	K00392	sulfite reductase (ferredoxin) [EC:1.8.7.1]
1834	COG2968	K09807	uncharacterized protein
1835	COG3658	K03620	Ni/Fe-hydrogenase 1 B-type cytochrome subunit
1836	COG0602	K10026	7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]
1837	COG0603	K06920	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]
1838	COG2716	K03567	glycine cleavage system transcriptional repressor
1839	COG0040	K00765	ATP phosphoribosyltransferase [EC:2.4.2.17]
1840	COG4106	K00598	trans-aconitate 2-methyltransferase [EC:2.1.1.144]
1841	COG2721	K01685	altronate hydrolase [EC:4.2.1.7]
1842	COG3031	K02452	general secretion pathway protein C
1843	COG4970	K08084	type IV fimbrial biogenesis protein FimT
1844	COG4967	K02671	type IV pilus assembly protein PilV
1845	COG3156	K02460	general secretion pathway protein K
1846	COG3149	K02462	general secretion pathway protein M
1847	COG3510	K18062	cephamycin C biosynthesis protein
1848	COG1718	K07178	RIO kinase 1 [EC:2.7.11.1]
1849	COG4123	K15460	tRNA1Val (adenine37-N6)-methyltransferase [EC:2.1.1.223]
1850	COG3410	K09384	uncharacterized protein
1851	COG0385	K03453	bile acid:Na+ symporter, BASS family
1852	COG4076	K11434	type I protein arginine methyltransferase [EC:2.1.1.319]
1853	COG0510	K07251	thiamine kinase [EC:2.7.1.89]
1854	COG4671	K02563	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
1855	COG1174	K05846	osmoprotectant transport system permease protein
1856	COG1732	K05845	osmoprotectant transport system substrate-binding protein
1857	COG1125	K05847	osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]
1858	COG2898	K14205	phosphatidylglycerol lysyltransferase [EC:2.3.2.3]
1859	COG5278	K03406	methyl-accepting chemotaxis protein
1860	COG3533	K09955	uncharacterized protein
1861	COG1093	K02945	small subunit ribosomal protein S1
1862	COG3222	K09931	uncharacterized protein
1863	COG1524	K18398	ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [EC:3.1.-.-]
1864	COG3246	K18013	3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]
1865	COG1129	K10441	ribose transport system ATP-binding protein [EC:7.5.2.7]
1866	COG1878	K07130	arylformamidase [EC:3.5.1.9]
1867	COG2319	K14963	COMPASS component SWD3
1868	COG3356	K12349	neutral ceramidase [EC:3.5.1.23]
1869	COG0371	K00005	glycerol dehydrogenase [EC:1.1.1.6]
1870	COG1913	K06974	archaemetzincin [EC:3.4.-.-]
1871	COG3461	K09700	uncharacterized protein
1872	COG3647	K08984	putative membrane protein
1873	COG3327	K02616	phenylacetic acid degradation operon negative regulatory protein
1874	COG2944	K07726	putative transcriptional regulator
1875	COG1047	K03775	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]
1876	COG0128	K00800	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
1877	COG4689	K01574	acetoacetate decarboxylase [EC:4.1.1.4]
1878	COG2605	K07031	D-glycero-alpha-D-manno-heptose-7-phosphate kinase [EC:2.7.1.168]
1879	COG1571	K06932	tRNA(Ile2)-agmatinylcytidine synthase [EC:6.3.4.22]
1880	COG1910	K07219	putative molybdopterin biosynthesis protein
1881	COG0132	K01935	dethiobiotin synthetase [EC:6.3.3.3]
1882	COG1834	K01482	dimethylargininase [EC:3.5.3.18]
1883	COG3075	K00112	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
1884	COG3718	K03337	5-deoxy-glucuronate isomerase [EC:5.3.1.30]
1885	COG1473	K01436	amidohydrolase [EC:3.5.1.-]
1886	COG0287	K04517	prephenate dehydrogenase [EC:1.3.1.12]
1887	COG0106	K01814	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
1888	COG2257	K04061	flagellar biosynthesis protein
1889	COG4548	K02448	nitric oxide reductase NorD protein
1890	COG4927	K19200	isopenicillin-N N-acyltransferase like protein
1891	COG4354	K17108	non-lysosomal glucosylceramidase [EC:3.2.1.45]
1892	COG2242	K00595	precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase [EC:2.1.1.132 2.1.1.289 2.1.1.196]
1893	COG3784	K09978	uncharacterized protein
1894	COG2094	K03652	DNA-3-methyladenine glycosylase [EC:3.2.2.21]
1895	COG4668	K02798	mannitol PTS system EIIA component [EC:2.7.1.197]
1896	COG4969	K02650	type IV pilus assembly protein PilA
1897	COG4639	K07313	serine/threonine protein phosphatase 1 [EC:3.1.3.16]
1898	COG0488	K06158	ATP-binding cassette, subfamily F, member 3
1899	COG2863	K17230	cytochrome subunit of sulfide dehydrogenase
1900	COG1300	K06384	stage II sporulation protein M
1901	COG5414	K07114	Ca-activated chloride channel homolog
1902	COG3665	K09967	uncharacterized protein
1903	COG4870	K01371	cathepsin K [EC:3.4.22.38]
1904	COG5266	K10094	nickel transport protein
1905	COG3659	K07267	porin
1906	COG1532	K06964	uncharacterized protein
1907	COG1106	K07459	putative ATP-dependent endonuclease of the OLD family
1908	COG4748	K07504	predicted type IV restriction endonuclease
1909	COG2336	K07172	antitoxin MazE
1910	COG1569	K07063	uncharacterized protein
1911	COG0076	K13745	L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]
1912	COG0440	K01653	acetolactate synthase I/III small subunit [EC:2.2.1.6]
1913	COG3431	K13256	protein PsiE
1914	COG1334	K06603	flagellar protein FlaG
1915	COG1820	K01443	N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]
1916	COG1359	K11530	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase [EC:5.3.1.32]
1917	COG5016	K01571	oxaloacetate decarboxylase (Na+ extruding) subunit alpha [EC:7.2.4.2]
1918	COG1203	K07012	CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 5.6.2.4]
1919	COG3649	K19118	CRISPR-associated protein Csd2
1920	COG1468	K07464	CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]
1921	COG1518	K15342	CRISP-associated protein Cas1
1922	COG1343	K09951	CRISPR-associated protein Cas2
1923	COG0415	K01669	deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
1924	COG5013	K00370	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
1925	COG1751	K09126	uncharacterized protein
1926	COG0314	K21142	MoaE-MoaD fusion protein [EC:2.8.1.12]
1927	COG2095	K05595	multiple antibiotic resistance protein
1928	COG2516	K01012	biotin synthase [EC:2.8.1.6]
1929	COG2074	K05715	2-phosphoglycerate kinase [EC:2.7.2.16]
1930	COG3448	K07168	CBS domain-containing membrane protein
1931	COG0800	K01625	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
1932	COG1090	K07071	uncharacterized protein
1933	COG2273	K01216	licheninase [EC:3.2.1.73]
1934	COG2929	K09803	uncharacterized protein
1935	COG1839	K09129	uncharacterized protein
1936	COG4117	K03620	Ni/Fe-hydrogenase 1 B-type cytochrome subunit
1937	COG3485	K00449	protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]
1938	COG3413	K11354	two-component system, chemotaxis family, sensor kinase Cph1 [EC:2.7.13.3]
1939	COG1487	K18828	tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]
1940	COG0833	K03294	basic amino acid/polyamine antiporter, APA family
1941	COG3682	K02171	BlaI family transcriptional regulator, penicillinase repressor
1942	COG1988	K07038	inner membrane protein
1943	COG3447	K11527	two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]
1944	COG1312	K01686	mannonate dehydratase [EC:4.2.1.8]
1945	COG4934	K08677	kumamolisin
1946	COG0083	K00872	homoserine kinase [EC:2.7.1.39]
1947	COG2940	K07117	uncharacterized protein
1948	COG4456	K18829	antitoxin VapB
1949	COG3905	K18918	RHH-type transcriptional regulator, rel operon repressor / antitoxin RelB
1950	COG3320	K13356	alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]
1951	COG3178	K07102	N-acetylmuramate 1-kinase [EC:2.7.1.221]
1952	COG2706	K07404	6-phosphogluconolactonase [EC:3.1.1.31]
1953	COG3458	K01060	cephalosporin-C deacetylase [EC:3.1.1.41]
1954	COG0657	K01066	acetyl esterase [EC:3.1.1.-]
1955	COG4774	K02014	iron complex outermembrane recepter protein
1956	COG4586	K01990	ABC-2 type transport system ATP-binding protein
1957	COG3488	K00428	cytochrome c peroxidase [EC:1.11.1.5]
1958	COG2948	K20533	type IV secretion system protein TrbI
1959	COG2017	K01785	aldose 1-epimerase [EC:5.1.3.3]
1960	COG4993	K00117	quinoprotein glucose dehydrogenase [EC:1.1.5.2]
1961	COG1167	K05825	2-aminoadipate transaminase [EC:2.6.1.-]
1962	COG3844	K01556	kynureninase [EC:3.7.1.3]
1963	COG1113	K03294	basic amino acid/polyamine antiporter, APA family
1964	COG1231	K00274	monoamine oxidase [EC:1.4.3.4]
1965	COG3127	K09808	lipoprotein-releasing system permease protein
1966	COG4975	K05340	glucose uptake protein
1967	COG1393	K00537	arsenate reductase (glutaredoxin) [EC:1.20.4.1]
1968	COG3396	K02609	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]
1969	COG3663	K03649	double-stranded uracil-DNA glycosylase [EC:3.2.2.28]
1970	COG5650	K13671	alpha-1,2-mannosyltransferase [EC:2.4.1.-]
1971	COG2107	K11785	1,4-dihydroxy-6-naphthoate synthase [EC:1.14.-.-]
1972	COG1501	K01811	alpha-D-xyloside xylohydrolase [EC:3.2.1.177]
1973	COG3024	K09862	uncharacterized protein
1974	COG3239	K10255	acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.23 1.14.19.45]
1975	COG0565	K02533	tRNA/rRNA methyltransferase [EC:2.1.1.-]
1976	COG2404	K07097	uncharacterized protein
1977	COG1981	K08973	protoporphyrinogen IX oxidase [EC:1.3.99.-]
1978	COG3622	K01816	hydroxypyruvate isomerase [EC:5.3.1.22]
1979	COG3595	K11621	lia operon protein LiaG
1980	COG5207	K11844	ubiquitin carboxyl-terminal hydrolase 16/45 [EC:3.4.19.12]
1981	COG2514	K07104	catechol 2,3-dioxygenase [EC:1.13.11.2]
1982	COG0595	K12574	ribonuclease J [EC:3.1.-.-]
1983	COG2503	K20728	vegetative storage protein 2
1984	COG1430	K09005	uncharacterized protein
1985	COG2064	K12511	tight adherence protein C
1986	COG4965	K12510	tight adherence protein B
1987	COG4962	K02283	pilus assembly protein CpaF [EC:7.4.2.8]
1988	COG4963	K02282	pilus assembly protein CpaE
1989	COG4964	K02280	pilus assembly protein CpaC
1990	COG3745	K02279	pilus assembly protein CpaB
1991	COG4960	K02278	prepilin peptidase CpaA [EC:3.4.23.43]
1992	COG3847	K02651	pilus assembly protein Flp/PilA
1993	COG2352	K01595	phosphoenolpyruvate carboxylase [EC:4.1.1.31]
1994	COG3253	K00435	hydrogen peroxide-dependent heme synthase [EC:1.3.98.5]
1995	COG2084	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
1996	COG2169	K10778	AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]
1997	COG1159	K03595	GTPase
1998	COG2423	K19244	alanine dehydrogenase [EC:1.4.1.1]
1999	COG1349	K03436	DeoR family transcriptional regulator, fructose operon transcriptional repressor
2000	COG1206	K04094	methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]
2001	COG2952	K09804	uncharacterized protein
2002	COG2362	K16203	D-amino peptidase [EC:3.4.11.-]
2003	COG1172	K10440	ribose transport system permease protein
2004	COG1494	K02446	fructose-1,6-bisphosphatase II [EC:3.1.3.11]
2005	COG1615	K09118	uncharacterized protein
2006	COG5611	K07064	uncharacterized protein
2007	COG2348	K11693	peptidoglycan pentaglycine glycine transferase (the first glycine) [EC:2.3.2.16]
2008	COG1802	K22293	GntR family transcriptional regulator, rspAB operon transcriptional repressor
2009	COG3757	K07273	lysozyme
2010	COG3179	K03791	putative chitinase
2011	COG3419	K02674	type IV pilus assembly protein PilY1
2012	COG3427	K09386	uncharacterized protein
2013	COG2041	K07147	methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]
2014	COG2367	K17836	beta-lactamase class A [EC:3.5.2.6]
2015	COG0710	K03785	3-dehydroquinate dehydratase I [EC:4.2.1.10]
2016	COG1923	K03666	host factor-I protein
2017	COG3494	K09949	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]
2018	COG2919	K05589	cell division protein FtsB
2019	COG3284	K21405	sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR
2020	COG3325	K01183	chitinase [EC:3.2.1.14]
2021	COG3650	K08985	putative lipoprotein
2022	COG2216	K01547	potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]
2023	COG2060	K01546	potassium-transporting ATPase potassium-binding subunit
2024	COG1609	K02529	LacI family transcriptional regulator
2025	COG3511	K01114	phospholipase C [EC:3.1.4.3]
2026	COG1626	K03931	glucosidase [EC:3.2.1.-]
2027	COG2406	K03594	bacterioferritin [EC:1.16.3.1]
2028	COG3678	K06006	periplasmic protein CpxP/Spy
2029	COG4798	K03183	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]
2030	COG3710	K22486	transcriptional regulator HilA, main transcriptional regulator of SPI1
2031	COG3964	K01465	dihydroorotase [EC:3.5.2.3]
2032	COG2355	K01273	membrane dipeptidase [EC:3.4.13.19]
2033	COG3634	K03387	NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]
2034	COG5285	K00477	phytanoyl-CoA hydroxylase [EC:1.14.11.18]
2035	COG3836	K02510	4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]
2036	COG1607	K01073	acyl-CoA hydrolase [EC:3.1.2.20]
2037	COG1210	K00963	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
2038	COG1446	K13051	L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]
2039	COG0258	K02335	DNA polymerase I [EC:2.7.7.7]
2040	COG3347	K01628	L-fuculose-phosphate aldolase [EC:4.1.2.17]
2041	COG2802	K07157	uncharacterized protein
2042	COG1526	K02379	FdhD protein
2043	COG3058	K02380	FdhE protein
2044	COG3214	K09927	uncharacterized protein
2045	COG1758	K03060	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
2046	COG1876	K07260	zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]
2047	COG4299	K10532	heparan-alpha-glucosaminide N-acetyltransferase [EC:2.3.1.78]
2048	COG0719	K09014	Fe-S cluster assembly protein SufB
2049	COG0396	K09013	Fe-S cluster assembly ATP-binding protein
2050	COG3193	K11477	glc operon protein GlcG
2051	COG3399	K09943	uncharacterized protein
2052	COG4691	K21495	antitoxin FitA
2053	COG2138	K03795	sirohydrochlorin cobaltochelatase [EC:4.99.1.3]
2054	COG2102	K06927	diphthine-ammonia ligase [EC:6.3.1.14]
2055	COG1576	K00783	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
2056	COG5606	K15773	HTH-type transcriptional regulator / antitoxin HipB
2057	COG0788	K01433	formyltetrahydrofolate deformylase [EC:3.5.1.10]
2058	COG2218	K22082	methylamine---glutamate N-methyltransferase subunit B [EC:2.1.1.21]
2059	COG4311	K00304	sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]
